Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
684,455,591,747,888,594,473,637,338,739,402,766
761,455,552,786,888,594,473,611,333,490,471,839
942,381,626,786,888,594,473,609,333,489,522,848
771,396,816,786,888,594,473,542,333,485,547,795
740,432,819,786,888,594,473,505,406,421,547,834
806,458,819,776,898,592,475,506,409,416,552,828
788,476,800,743,892,650,475,457,509,423,552,810
845,476,800,704,896,685,475,569,615,422,561,842
797,568,800,663,933,684,476,618,592,422,561,852
671,694,631,832,888,661,540,668,624,485,563,852
628,740,608,855,694,711,683,674,624,485,573,854
629,740,608,810,655,757,721,674,680,565,573,843
639,739,389,935,750,702,776,674,690,580,573,811
642,646,482,935,750,702,776,670,690,580,647,789
802,648,482,935,750,543,935,634,690,628,665,715
955,650,482,935,366,879,983,634,680,636,680,651
955,650,482,830,471,879,983,640,680,695,675,742
955,650,482,811,490,874,945,642,826,697,632,733
955,650,482,793,508,874,743,648,832,758,572,594
955,556,576,790,511,869,662,657,856,782,539,607
959,556,573,793,498,882,662,720,855,776,486,619
1143,558,573,735,508,889,703,729,873,885,482,629
1155,600,573,538,705,889,703,737,873,851,520,592
1187,605,573,516,727,889,703,737,893,927,518,592
1189,605,556,533,727,889,703,737,937,929,542,616
1349,605,556,533,711,905,703,573,946,929,569,499
1453,605,556,495,749,893,709,570,946,947,593,481
1547,605,556,495,749,892,639,550,716,946,593,440
1547,605,556,490,754,881,648,527,707,947,593,438
1558,605,556,490,747,888,594,553,826,924,499,457
1538,639,556,490,747,888,594,508,1158,906,607,452
1549,684,455,591,747,888,594,561,1221,993,619,399
1473,761,455,552,786,888,594,654,1252,1105,666,326
1367,942,381,626,786,888,594,778,1270,1122,671,317
1388,771,396,816,786,888,594,848,1373,1128,668,317
1416,740,432,819,786,888,594,842,1403,1196,668,275
1408,806,458,819,776,898,592,841,1452,1279,699,275
1425,788,476,800,743,892,650,854,1500,1278,699,274
1467,845,476,800,704,896,685,743,1412,1278,689,228
1437,797,568,800,663,933,684,694,1394,1320,689,218
1438,671,694,631,832,888,661,644,1362,1292,687,218
1438,628,740,608,855,694,711,636,1362,1293,677,216
1437,629,740,608,810,655,757,641,1306,1213,677,216
1427,639,739,389,935,750,702,641,1296,1198,689,216
1424,642,646,482,935,750,702,637,1296,1242,680,272
1262,802,648,482,935,750,543,637,1296,1194,667,356
1107,955,650,482,935,366,879,643,1296,1186,660,440
1112,955,650,482,830,471,879,642,1296,1127,680,344
1119,955,650,482,811,490,874,661,1150,1045,680,344
1143,955,650,482,793,508,874,657,1144,947,680,344
1316,955,556,576,790,511,869,630,1106,918,672,346
1323,959,556,573,793,498,882,567,1106,892,672,365
1214,1143,558,573,735,508,889,557,1088,633,672,402
1217,1155,600,573,538,705,889,541,1088,606,634,419
1180,1187,605,573,516,727,889,541,1090,529,642,419
1209,1189,605,556,533,727,889,541,1047,527,645,395
1049,1349,605,556,533,711,905,541,1040,527,629,411
1079,1453,605,556,495,749,893,541,1108,502,606,411
1040,1547,605,556,495,749,892,541,1111,627,640,411
1127,1547,605,556,490,754,881,520,1108,705,704,433
1119,1558,605,556,490,747,888,444,989,803,721,441
1106,1538,639,556,490,747,888,436,657,832,595,428
1050,1549,684,455,591,747,888,383,610,757,502,433
1049,1473,761,455,552,786,888,290,580,714,386,433
974,1367,942,381,626,786,888,169,667,707,336,485
919,1388,771,396,816,786,888,99,588,777,314,485
886,1416,740,432,819,786,888,98,546,709,314,486
802,1408,806,458,819,776,898,98,497,704,278,517
798,1425,788,476,800,743,892,85,389,706,278,517
706,1467,845,476,800,704,896,84,367,735,278,532
692,1437,797,568,800,663,933,84,411,731,319,538
691,1438,671,694,631,832,888,84,430,698,319,578
709,1438,628,740,608,855,694,84,430,704,319,578
709,1437,629,740,608,810,655,88,434,712,319,578
709,1427,639,739,389,935,750,88,448,712,307,578
774,1424,642,646,482,935,750,88,534,668,247,522
845,1262,802,648,482,935,750,81,654,746,374,515
845,1107,955,650,482,935,366,263,683,904,374,513
840,1112,955,650,482,830,471,365,690,959,354,506
833,1119,955,650,482,811,490,356,694,1014,380,650
815,1143,955,650,482,793,508,354,748,1015,387,650
645,1316,955,556,576,790,511,381,803,1015,387,635
634,1323,959,556,573,793,498,750,803,1015,387,608
602,1214,1143,558,573,735,508,750,815,1015,387,562
549,1217,1155,600,573,538,705,750,815,1015,391,545
549,1180,1187,605,573,516,727,750,793,1015,384,545
519,1209,1189,605,556,533,727,750,792,1036,357,545
535,1049,1349,605,556,533,711,750,790,1036,346,530
468,1079,1453,605,556,495,749,750,722,1039,345,528
417,1040,1547,605,556,495,749,750,746,914,311,530
351,1127,1547,605,556,490,754,736,780,836,247,525
357,1119,1558,605,556,490,747,736,991,738,230,500
441,1106,1538,639,556,490,747,764,994,709,230,516
604,1050,1549,684,455,591,747,771,978,697,230,513
607,1049,1473,761,455,552,786,778,1049,628,230,513
644,974,1367,942,381,626,786,775,1086,622,224,461
644,919,1388,771,396,816,786,775,1304,591,224,461
641,886,1416,740,432,819,786,786,1243,601,225,460
641,802,1408,806,458,819,776,786,1240,707,246,429
628,798,1425,788,476,800,743,888,1200,706,258,429
621,706,1467,845,476,800,704,1042,1199,704,270,479
622,692,1437,797,568,800,663,1063,1145,801,229,518
622,691,1438,671,694,631,832,1083,1126,914,239,593
601,709,1438,628,740,608,855,1086,1126,930,239,726
620,709,1437,629,740,608,810,1077,1122,1066,240,745
627,709,1427,639,739,389,935,1080,1108,1066,431,746
562,774,1424,642,646,482,935,1148,1022,1066,444,746
517,845,1262,802,648,482,935,1139,902,988,339,666
556,845,1107,955,650,482,935,951,873,830,427,605
556,840,1112,955,650,482,830,848,866,775,433,609
556,833,1119,955,650,482,811,837,884,720,417,526
570,815,1143,955,650,482,793,837,830,732,446,558
574,645,1316,955,556,576,790,835,775,732,446,558
708,634,1323,959,556,573,793,485,775,777,446,555
708,602,1214,1143,558,573,735,485,763,880,446,555
749,549,1217,1155,600,573,538,485,776,999,442,555
778,549,1180,1187,605,573,516,485,835,1016,441,568
804,519,1209,1189,605,556,533,489,835,1042,464,568
982,535,1049,1349,605,556,533,489,914,1206,486,567
935,468,1079,1453,605,556,495,508,1079,1294,515,567
931,417,1040,1547,605,556,495,510,1071,1328,522,565
910,351,1127,1547,605,556,490,510,1087,1412,674,548
901,357,1119,1558,605,556,490,632,920,1412,674,553
816,441,1106,1538,639,556,490,672,917,1429,675,543
692,604,1050,1549,684,455,591,720,917,1499,687,544
689,607,1049,1473,761,455,552,713,846,1523,691,550
652,644,974,1367,942,381,626,765,704,1519,762,554
652,644,919,1388,771,396,816,780,463,1509,822,560
652,641,886,1416,740,432,819,837,513,1499,832,560
652,641,802,1408,806,458,819,838,715,1315,817,573
652,628,798,1425,788,476,800,743,786,1308,805,594
652,621,706,1467,845,476,800,592,812,1281,793,529
651,622,692,1437,797,568,800,571,863,1146,793,484
651,622,691,1438,671,694,631,551,892,1031,783,369
651,601,709,1438,628,740,608,548,1008,1008,783,236
632,620,709,1437,629,740,608,548,1018,870,782,217
625,627,709,1427,639,739,389,545,1018,920,591,216
628,562,774,1424,642,646,482,477,1022,955,573,216
782,517,845,1262,802,648,482,466,1055,992,591,216
820,556,845,1107,955,650,482,466,1231,992,516,187
824,556,840,1112,955,650,482,462,1254,1207,510,190
824,556,833,1119,955,650,482,534,1232,1211,500,129
804,570,815,1143,955,650,482,547,1251,1219,634,106
797,574,645,1316,955,556,576,571,1251,1224,717,106
790,708,634,1323,959,556,573,600,1256,1179,721,162
807,708,602,1214,1143,558,573,622,1327,1076,768,184
784,749,549,1217,1155,600,573,648,1358,976,805,189
816,778,549,1180,1187,605,573,654,1299,972,875,227
821,804,519,1209,1189,605,556,650,1306,954,958,252
645,982,535,1049,1349,605,556,650,1233,831,950,252
628,935,468,1079,1453,605,556,631,1068,740,1056,252
688,931,417,1040,1547,605,556,629,1040,706,1104,252
697,910,351,1127,1547,605,556,629,989,621,977,252
736,901,357,1119,1558,605,556,507,945,621,977,263
739,816,441,1106,1538,639,556,439,977,604,976,265
700,692,604,1050,1549,684,455,384,1094,534,964,318
700,689,607,1049,1473,761,455,388,1112,510,960,340
725,652,644,974,1367,942,381,340,1112,510,889,342
725,652,644,919,1388,771,396,326,1158,475,829,336
725,652,641,886,1416,740,432,258,1108,475,818,336
725,652,641,802,1408,806,458,257,917,475,815,323
731,652,628,798,1425,788,476,250,852,475,823,302
735,652,621,706,1467,845,476,247,888,475,846,302
735,651,622,692,1437,797,568,247,930,475,856,302
735,651,622,691,1438,671,694,247,927,475,915,342
735,651,601,709,1438,628,740,290,811,475,922,383
735,632,620,709,1437,629,740,492,801,469,922,383
735,625,627,709,1427,639,739,578,803,419,922,406
732,628,562,774,1424,642,646,578,857,384,922,470
552,782,517,845,1262,802,648,578,825,347,877,476
475,820,556,845,1107,955,650,578,696,347,906,476
471,824,556,840,1112,955,650,578,673,132,906,460
471,824,556,833,1119,955,650,505,685,128,906,463
471,804,570,815,1143,955,650,492,674,107,736,455
500,797,574,645,1316,955,556,448,674,102,653,564
373,790,708,634,1323,959,556,471,669,102,682,568
311,807,708,602,1214,1143,558,451,598,102,635,545
289,784,749,549,1217,1155,600,479,716,83,598,551
228,816,778,549,1180,1187,605,473,724,136,528,500
198,821,804,519,1209,1189,605,473,730,107,520,475
190,645,982,535,1049,1349,605,473,747,66,517,475
275,628,935,468,1079,1453,605,473,747,66,382,475
276,688,931,417,1040,1547,605,473,747,66,327,545
267,697,910,351,1127,1547,605,473,747,90,302,568
228,736,901,357,1119,1558,605,475,747,92,317,559
486,739,816,441,1106,1538,639,475,715,92,317,565
507,700,692,604,1050,1549,684,475,598,198,317,607
507,700,689,607,1049,1473,761,476,579,279,427,590
533,725,652,644,974,1367,942,540,579,370,432,584
533,725,652,644,919,1388,771,683,532,370,432,584
632,725,652,641,886,1416,740,721,532,398,432,584
632,725,652,641,802,1408,806,776,521,413,557,584
626,731,652,628,798,1425,788,776,515,433,571,677
627,735,652,621,706,1467,845,935,453,444,548,766
627,735,651,622,692,1437,797,983,360,479,538,766
627,735,651,622,691,1438,671,983,392,638,876,726
693,735,651,601,709,1438,628,945,418,724,869,685
693,735,632,620,709,1437,629,743,423,724,908,685
693,735,625,627,709,1427,639,662,437,762,959,662
693,732,628,562,774,1424,642,662,379,902,1144,723
693,552,782,517,845,1262,802,703,378,903,1191,721
693,475,820,556,845,1107,955,703,331,903,1160,722
693,471,824,556,840,1112,955,703,331,903,1173,737
693,471,824,556,833,1119,955,703,326,903,1197,734
765,471,804,570,815,1143,955,703,321,951,1247,733
866,500,797,574,645,1316,955,709,330,1112,1385,624
871,373,790,708,634,1323,959,639,367,1159,1384,563
893,311,807,708,602,1214,1143,648,386,1177,1384,563
972,289,784,749,549,1217,1155,594,291,1183,1487,796
1100,228,816,778,549,1180,1187,594,354,1123,1512,796
1106,198,821,804,519,1209,1189,594,341,1195,1428,796
1096,190,645,982,535,1049,1349,594,318,1443,1468,796
1008,275,628,935,468,1079,1453,594,330,1443,1468,796
947,276,688,931,417,1040,1547,594,345,1443,1468,772
947,267,697,910,351,1127,1547,594,345,1419,1470,749
947,228,736,901,357,1119,1558,592,567,1417,1456,740
940,486,739,816,441,1106,1538,650,653,1417,1456,758
919,507,700,692,604,1050,1549,685,658,1311,1456,660
1062,507,700,689,607,1049,1473,684,658,1261,1346,649
1073,533,725,652,644,974,1367,661,658,1204,1341,649
1164,533,725,652,644,919,1388,711,658,1278,1341,649
1100,632,725,652,641,886,1416,757,658,1250,1341,649
1129,632,725,652,641,802,1408,702,746,1235,1213,649
1129,626,731,652,628,798,1425,702,746,1220,1191,556
1151,627,735,652,621,706,1467,543,824,1237,1288,468
1151,627,735,651,622,692,1437,879,841,1290,1338,468
1151,627,735,651,622,691,1438,879,836,1175,941,468
1151,693,735,651,601,709,1438,874,810,1213,941,468
1151,693,735,632,620,709,1437,874,805,1267,1017,468
1158,693,735,625,627,709,1427,869,846,1230,1114,468
1160,693,732,628,562,774,1424,882,848,1122,929,343
1160,693,552,782,517,845,1262,889,848,1173,898,339
1160,693,475,820,556,845,1107,889,876,1266,879,338
1160,693,471,824,556,840,1112,889,876,1383,866,323
1160,693,471,824,556,833,1119,889,869,1425,842,323
1088,765,471,804,570,815,1143,905,1109,1448,933,325
958,866,500,797,574,645,1316,893,1100,1409,803,326
953,871,373,790,708,634,1323,892,1063,1376,782,326
931,893,311,807,708,602,1214,881,1044,1399,782,376
852,972,289,784,749,549,1217,888,977,1401,681,334
724,1100,228,816,778,549,1180,888,906,1398,656,392
716,1106,198,821,804,519,1209,888,906,1374,642,456
716,1096,190,645,982,535,1049,888,1077,1320,591,505
716,1008,275,628,935,468,1079,888,1153,1495,591,505
716,947,276,688,931,417,1040,888,1138,1529,591,493
716,947,267,697,910,351,1127,888,1138,1589,608,507
716,947,228,736,901,357,1119,898,916,1618,624,759
462,940,486,739,816,441,1106,892,870,1618,625,772
462,919,507,700,692,604,1050,896,895,1713,629,848
319,1062,507,700,689,607,1049,933,895,1689,629,848
340,1073,533,725,652,644,974,888,900,1656,629,848
378,1164,533,725,652,644,919,694,967,1583,629,848
344,1100,632,725,652,641,886,655,971,1591,629,848
315,1129,632,725,652,641,802,750,883,1593,629,848
319,1129,626,731,652,628,798,750,883,1588,629,848
299,1151,627,735,652,621,706,750,805,1560,532,847
304,1151,627,735,651,622,692,366,808,1472,482,847
304,1151,627,735,651,622,691,471,765,1428,482,847
238,1151,693,735,651,601,709,490,766,1304,482,957
238,1151,693,735,632,620,709,508,832,1307,367,957
231,1158,693,735,625,627,709,511,820,1382,219,1024
267,1160,693,732,628,562,774,498,821,1417,219,1024
272,1160,693,552,782,517,845,508,821,1369,223,1024
276,1160,693,475,820,556,845,705,793,1313,223,1027
276,1160,693,471,824,556,840,727,793,1197,223,1076
276,1160,693,471,824,556,833,727,793,1155,223,1093
317,1088,765,471,804,570,815,711,622,1084,82,1091
317,958,866,500,797,574,645,749,801,962,88,1134
447,953,871,373,790,708,634,749,854,992,124,1273
468,931,893,311,807,708,602,754,854,995,124,1657
468,852,972,289,784,749,549,747,854,987,122,1456
471,724,1100,228,816,778,549,747,854,984,122,1398
471,716,1106,198,821,804,519,747,869,936,134,1334
494,716,1096,190,645,982,535,786,704,834,188,1285
494,716,1008,275,628,935,468,786,690,659,222,1286
536,716,947,276,688,931,417,786,904,625,501,1252
597,716,947,267,697,910,351,786,904,565,482,1297
597,716,947,228,736,901,357,776,904,840,465,1045
597,462,940,486,739,816,441,743,864,881,465,1055
605,462,919,507,700,692,604,704,879,810,461,1007
605,319,1062,507,700,689,607,663,879,899,475,1007
522,340,1073,533,725,652,644,832,874,907,531,1007
433,378,1164,533,725,652,644,855,828,906,612,1019
777,344,1100,632,725,652,641,810,877,903,617,1032
777,315,1129,632,725,652,641,935,880,901,713,1135
885,319,1129,626,731,652,628,935,880,901,831,1249
1024,299,1151,627,735,652,621,935,888,952,832,1249
1110,304,1151,627,735,651,622,935,869,1009,834,1249
1225,304,1151,627,735,651,622,830,865,1035,1012,1249
1237,238,1151,693,735,651,601,811,864,1035,1021,1139
1237,238,1151,693,735,632,620,793,839,1028,1044,1160
1237,231,1158,693,735,625,627,790,812,963,1062,1093
1199,267,1160,693,732,628,562,793,809,974,1132,1093
1196,272,1160,693,552,782,517,735,922,1304,1113,1093
1302,276,1160,693,475,820,556,538,922,1268,1113,1092
1326,276,1160,693,471,824,556,516,941,1267,1363,1044
1326,276,1160,693,471,824,556,533,943,1267,1469,1087
1474,317,1088,765,471,804,570,533,871,1267,1553,1087
1829,317,958,866,500,797,574,495,692,1267,1539,1043
1722,447,953,871,373,790,708,495,639,1223,1666,904
1777,468,931,893,311,807,708,490,639,1179,1748,470
1787,468,852,972,289,784,749,490,639,1179,1748,469
1784,471,724,1100,228,816,778,490,639,1179,1748,469
1784,471,716,1106,198,821,804,591,627,1179,1736,469
1761,494,716,1096,190,645,982,552,685,1087,1682,469
1761,494,716,1008,275,628,935,626,687,1196,1670,468
1719,536,716,947,276,688,931,816,473,1202,1391,468
1658,597,716,947,267,697,910,819,683,1207,1391,409
1696,597,716,947,228,736,901,819,741,912,1391,409
1877,597,462,940,486,739,816,800,758,871,1390,354
1921,605,462,919,507,700,692,800,713,847,1390,326
1922,605,319,1062,507,700,689,800,713,751,1376,327
1922,522,340,1073,533,725,652,631,713,771,1320,658
1882,433,378,1164,533,725,652,608,707,772,1239,759
1565,777,344,1100,632,725,652,608,1057,767,1234,776
1565,777,315,1129,632,725,652,389,1283,767,1138,673
1453,885,319,1129,626,731,652,482,1283,767,1020,560
1379,1024,299,1151,627,735,652,482,1275,716,1022,610
1376,1110,304,1151,627,735,651,482,1274,659,1020,652
1261,1225,304,1151,627,735,651,482,1268,710,867,652
1249,1237,238,1151,693,735,651,482,1268,729,878,652
1249,1237,238,1151,693,735,632,482,1227,679,860,631
1249,1237,231,1158,693,735,625,576,1209,668,842,631
1249,1199,267,1160,693,732,628,573,1209,590,772,631
1247,1196,272,1160,693,552,782,573,1096,256,771,631
1206,1302,276,1160,693,475,820,573,1100,255,771,629
1386,1326,276,1160,693,471,824,573,1081,312,527,628
1387,1326,276,1160,693,471,824,556,1079,312,434,575
1212,1474,317,1088,765,471,804,556,1079,312,358,575
858,1829,317,958,866,500,797,556,1079,479,358,586
839,1722,447,953,871,373,790,556,1079,489,184,596
763,1777,468,931,893,311,807,556,1079,530,118,613
812,1787,468,852,972,289,784,556,1155,530,174,652
825,1784,471,724,1100,228,816,556,1253,530,193,825
959,1784,471,716,1106,198,821,455,1302,544,381,842
959,1761,494,716,1096,190,645,455,1264,549,630,842
959,1761,494,716,1008,275,628,381,1190,440,609,842
988,1719,536,716,947,276,688,396,1257,434,613,842
989,1658,597,716,947,267,697,432,1091,429,677,842
951,1696,597,716,947,228,736,458,1033,420,682,842
770,1877,597,462,940,486,739,476,1065,420,682,842
718,1921,605,462,919,507,700,476,1065,425,683,843
717,1922,605,319,1062,507,700,568,1065,476,683,842
717,1922,522,340,1073,533,725,694,1065,447,683,511
717,1882,433,378,1164,533,725,740,1052,446,683,398
689,1565,777,344,1100,632,725,740,649,446,683,368
689,1565,777,315,1129,632,725,739,420,446,683,368
720,1453,885,319,1129,626,731,646,428,446,683,367
722,1379,1024,299,1151,627,735,648,491,446,680,317
634,1376,1110,304,1151,627,735,650,491,456,680,275
634,1261,1225,304,1151,627,735,650,491,379,655,280
727,1249,1237,238,1151,693,735,650,491,360,715,323
762,1249,1237,238,1151,693,735,650,491,360,747,383
762,1249,1237,231,1158,693,735,556,510,374,752,424
762,1249,1199,267,1160,693,732,556,510,375,784,477
799,1247,1196,272,1160,693,552,558,511,375,934,481
730,1206,1302,276,1160,693,475,600,515,375,995,481
526,1386,1326,276,1160,693,471,605,515,318,990,483
525,1387,1326,276,1160,693,471,605,515,318,977,476
512,1212,1474,317,1088,765,471,605,679,318,969,476
511,858,1829,317,958,866,500,605,682,151,976,465
507,839,1722,447,953,871,373,605,702,380,977,455
523,763,1777,468,931,893,311,605,760,352,961,438
531,812,1787,468,852,972,289,605,734,352,928,493
518,825,1784,471,724,1100,228,639,689,352,927,338
385,959,1784,471,716,1106,198,684,637,338,739,402
406,959,1761,494,716,1096,190,761,611,333,490,471
423,959,1761,494,716,1008,275,942,609,333,489,522
394,988,1719,536,716,947,276,771,542,333,485,547
519,989,1658,597,716,947,267,740,505,406,421,547
627,951,1696,597,716,947,228,806,506,409,416,552
708,770,1877,597,462,940,486,788,457,509,423,552
804,718,1921,605,462,919,507,845,569,615,422,561
858,717,1922,605,319,1062,507,797,618,592,422,561
1013,717,1922,522,340,1073,533,671,668,624,485,563
1046,717,1882,433,378,1164,533,628,674,624,485,573
1134,689,1565,777,344,1100,632,629,674,680,565,573
1138,689,1565,777,315,1129,632,639,674,690,580,573
1108,720,1453,885,319,1129,626,642,670,690,580,647
1034,722,1379,1024,299,1151,627,802,634,690,628,665
1034,634,1376,1110,304,1151,627,955,634,680,636,680
1035,634,1261,1225,304,1151,627,955,640,680,695,675
944,727,1249,1237,238,1151,693,955,642,826,697,632
909,762,1249,1237,238,1151,693,955,648,832,758,572
909,762,1249,1237,231,1158,693,955,657,856,782,539
924,762,1249,1199,267,1160,693,959,720,855,776,486
888,799,1247,1196,272,1160,693,1143,729,873,885,482
888,730,1206,1302,276,1160,693,1155,737,873,851,520
890,526,1386,1326,276,1160,693,1187,737,893,927,518
891,525,1387,1326,276,1160,693,1189,737,937,929,542
893,512,1212,1474,317,1088,765,1349,573,946,929,569
893,511,858,1829,317,958,866,1453,570,946,947,593
930,507,839,1722,447,953,871,1547,550,716,946,593
915,523,763,1777,468,931,893,1547,527,707,947,593
848,531,812,1787,468,852,972,1558,553,826,924,499
850,518,825,1784,471,724,1100,1538,508,1158,906,607
849,385,959,1784,471,716,1106,1549,561,1221,993,619
832,406,959,1761,494,716,1096,1473,654,1252,1105,666
820,423,959,1761,494,716,1008,1367,778,1270,1122,671
821,394,988,1719,536,716,947,1388,848,1373,1128,668
722,519,989,1658,597,716,947,1416,842,1403,1196,668
754,627,951,1696,597,716,947,1408,841,1452,1279,699
702,708,770,1877,597,462,940,1425,854,1500,1278,699
612,804,718,1921,605,462,919,1467,743,1412,1278,689
559,858,717,1922,605,319,1062,1437,694,1394,1320,689
410,1013,717,1922,522,340,1073,1438,644,1362,1292,687
388,1046,717,1882,433,378,1164,1438,636,1362,1293,677
306,1134,689,1565,777,344,1100,1437,641,1306,1213,677
302,1138,689,1565,777,315,1129,1427,641,1296,1198,689
332,1108,720,1453,885,319,1129,1424,637,1296,1242,680
347,1034,722,1379,1024,299,1151,1262,637,1296,1194,667
377,1034,634,1376,1110,304,1151,1107,643,1296,1186,660
480,1035,634,1261,1225,304,1151,1112,642,1296,1127,680
495,944,727,1249,1237,238,1151,1119,661,1150,1045,680
577,909,762,1249,1237,238,1151,1143,657,1144,947,680
717,909,762,1249,1237,231,1158,1316,630,1106,918,672
809,924,762,1249,1199,267,1160,1323,567,1106,892,672
883,888,799,1247,1196,272,1160,1214,557,1088,633,672
884,888,730,1206,1302,276,1160,1217,541,1088,606,634
882,890,526,1386,1326,276,1160,1180,541,1090,529,642
883,891,525,1387,1326,276,1160,1209,541,1047,527,645
887,893,512,1212,1474,317,1088,1049,541,1040,527,629
889,893,511,858,1829,317,958,1079,541,1108,502,606
852,930,507,839,1722,447,953,1040,541,1111,627,640
851,915,523,763,1777,468,931,1127,520,1108,705,704
901,848,531,812,1787,468,852,1119,444,989,803,721
1010,850,518,825,1784,471,724,1106,436,657,832,595
1092,849,385,959,1784,471,716,1050,383,610,757,502
1091,832,406,959,1761,494,716,1049,290,580,714,386
1086,820,423,959,1761,494,716,974,169,667,707,336
1314,821,394,988,1719,536,716,919,99,588,777,314
1335,722,519,989,1658,597,716,886,98,546,709,314
1203,754,627,951,1696,597,716,802,98,497,704,278
1293,702,708,770,1877,597,462,798,85,389,706,278
1287,612,804,718,1921,605,462,706,84,367,735,278
1306,559,858,717,1922,605,319,692,84,411,731,319
1325,410,1013,717,1922,522,340,691,84,430,698,319
1365,388,1046,717,1882,433,378,709,84,430,704,319
1364,306,1134,689,1565,777,344,709,88,434,712,319
1415,302,1138,689,1565,777,315,709,88,448,712,307
1384,332,1108,720,1453,885,319,774,88,534,668,247
1369,347,1034,722,1379,1024,299,845,81,654,746,374
1359,377,1034,634,1376,1110,304,845,263,683,904,374
1255,480,1035,634,1261,1225,304,840,365,690,959,354
1248,495,944,727,1249,1237,238,833,356,694,1014,380
1166,577,909,762,1249,1237,238,815,354,748,1015,387
1026,717,909,762,1249,1237,231,645,381,803,1015,387
919,809,924,762,1249,1199,267,634,750,803,1015,387
844,883,888,799,1247,1196,272,602,750,815,1015,387
868,884,888,730,1206,1302,276,549,750,815,1015,391
898,882,890,526,1386,1326,276,549,750,793,1015,384
896,883,891,525,1387,1326,276,519,750,792,1036,357
900,887,893,512,1212,1474,317,535,750,790,1036,346
928,889,893,511,858,1829,317,468,750,722,1039,345
928,852,930,507,839,1722,447,417,750,746,914,311
928,851,915,523,763,1777,468,351,736,780,836,247
878,901,848,531,812,1787,468,357,736,991,738,230
770,1010,850,518,825,1784,471,441,764,994,709,230
708,1092,849,385,959,1784,471,604,771,978,697,230
705,1091,832,406,959,1761,494,607,778,1049,628,230
705,1086,820,423,959,1761,494,644,775,1086,622,224
476,1314,821,394,988,1719,536,644,775,1304,591,224
428,1335,722,519,989,1658,597,641,786,1243,601,225
428,1203,754,627,951,1696,597,641,786,1240,707,246
309,1293,702,708,770,1877,597,628,888,1200,706,258
311,1287,612,804,718,1921,605,621,1042,1199,704,270
309,1306,559,858,717,1922,605,622,1063,1145,801,229
347,1325,410,1013,717,1922,522,622,1083,1126,914,239
316,1365,388,1046,717,1882,433,601,1086,1126,930,239
321,1364,306,1134,689,1565,777,620,1077,1122,1066,240
351,1415,302,1138,689,1565,777,627,1080,1108,1066,431
359,1384,332,1108,720,1453,885,562,1148,1022,1066,444
359,1369,347,1034,722,1379,1024,517,1139,902,988,339
339,1359,377,1034,634,1376,1110,556,951,873,830,427
339,1255,480,1035,634,1261,1225,556,848,866,775,433
337,1248,495,944,727,1249,1237,556,837,884,720,417
337,1166,577,909,762,1249,1237,570,837,830,732,446
337,1026,717,909,762,1249,1237,574,835,775,732,446
337,919,809,924,762,1249,1199,708,485,775,777,446
367,844,883,888,799,1247,1196,708,485,763,880,446
342,868,884,888,730,1206,1302,749,485,776,999,442
391,898,882,890,526,1386,1326,778,485,835,1016,441
399,896,883,891,525,1387,1326,804,489,835,1042,464
388,900,887,893,512,1212,1474,982,489,914,1206,486
358,928,889,893,511,858,1829,935,508,1079,1294,515
358,928,852,930,507,839,1722,931,510,1071,1328,522
358,928,851,915,523,763,1777,910,510,1087,1412,674
358,878,901,848,531,812,1787,901,632,920,1412,674
355,770,1010,850,518,825,1784,816,672,917,1429,675
378,708,1092,849,385,959,1784,692,720,917,1499,687
378,705,1091,832,406,959,1761,689,713,846,1523,691
378,705,1086,820,423,959,1761,652,765,704,1519,762
378,476,1314,821,394,988,1719,652,780,463,1509,822
378,428,1335,722,519,989,1658,652,837,513,1499,832
370,428,1203,754,627,951,1696,652,838,715,1315,817
370,309,1293,702,708,770,1877,652,743,786,1308,805
388,311,1287,612,804,718,1921,652,592,812,1281,793
375,309,1306,559,858,717,1922,651,571,863,1146,793
312,347,1325,410,1013,717,1922,651,551,892,1031,783
297,316,1365,388,1046,717,1882,651,548,1008,1008,783
296,321,1364,306,1134,689,1565,632,548,1018,870,782
215,351,1415,302,1138,689,1565,625,545,1018,920,591
219,359,1384,332,1108,720,1453,628,477,1022,955,573
219,359,1369,347,1034,722,1379,782,466,1055,992,591
219,339,1359,377,1034,634,1376,820,466,1231,992,516
219,339,1255,480,1035,634,1261,824,462,1254,1207,510
211,337,1248,495,944,727,1249,824,534,1232,1211,500
211,337,1166,577,909,762,1249,804,547,1251,1219,634
211,337,1026,717,909,762,1249,797,571,1251,1224,717
211,337,919,809,924,762,1249,790,600,1256,1179,721
181,367,844,883,888,799,1247,807,622,1327,1076,768
181,342,868,884,888,730,1206,784,648,1358,976,805
102,391,898,882,890,526,1386,816,654,1299,972,875
94,399,896,883,891,525,1387,821,650,1306,954,958
124,388,900,887,893,512,1212,645,650,1233,831,950
154,358,928,889,893,511,858,628,631,1068,740,1056
197,358,928,852,930,507,839,688,629,1040,706,1104
259,358,928,851,915,523,763,697,629,989,621,977
330,358,878,901,848,531,812,736,507,945,621,977
330,355,770,1010,850,518,825,739,439,977,604,976
297,378,708,1092,849,385,959,700,384,1094,534,964
297,378,705,1091,832,406,959,700,388,1112,510,960
